Strategy,Start,End,Distance Taveled,Elapsed Time,Right Turns,Left Turns,
dijkstra,-258.751312:274.200000:184.083811,-622.000000:270.000000:-284.000000,1625.400000,54.180000,24,19,
astar,1090.016023:274.200000:20.556261,-203.000000:270.000000:-110.000000,1662.446155,55.414872,20,1,
bfs,-755.747525:274.200000:-536.762318,-318.000000:270.000000:530.000000,2347.588204,78.252940,22,17,
astar,-199.027856:274.200000:-109.726948,-1353.000000:270.000000:-451.000000,1805.042049,60.168068,29,8,
dijkstra,-625.601564:274.200000:-285.568089,1200.000000:270.000000:-261.000000,2738.488204,91.282940,5,22,
dijkstra,1196.979303:274.200000:-263.496026,446.000000:270.000000:-509.000000,1265.100000,42.170000,21,2,
dijkstra,449.662101:274.200000:-507.392476,1094.000000:270.000000:-313.000000,1136.395087,37.879836,2,25,
astar,-1349.263990:274.200000:-451.952967,719.000000:270.000000:418.000000,3011.829050,100.394302,12,37,
bfs,-319.525301:275.942049:533.421612,1057.000000:270.000000:-798.000000,4358.829050,145.294302,16,22,
astar,717.909638:271.966036:421.300291,129.000000:270.000000:132.000000,1099.500000,36.650000,13,7,
astar,132.296883:274.200000:129.919712,-37.000000:270.000000:219.000000,815.353445,27.178448,22,13,
bfs,1053.723182:274.200000:-796.255235,613.000000:270.000000:-437.000000,1159.153445,38.638448,7,8,
dijkstra,1090.128492:274.200000:-313.906508,-947.000000:270.000000:-693.000000,3028.587409,100.952914,24,10,
bfs,609.345148:274.200000:-436.196589,-4.000000:270.000000:-785.000000,981.300000,32.710000,10,2,
astar,-37.345790:273.788697:222.911458,-155.000000:270.000000:-515.000000,1331.100000,44.370000,13,12,
astar,-156.784522:274.200000:-518.435000,-1026.000000:270.000000:-529.000000,1660.800000,55.360000,26,7,
dijkstra,-948.637389:274.200000:-689.556423,-748.000000:270.000000:788.000000,2118.000000,70.600000,20,39,
bfs,-5.471669:274.200000:-781.460261,-1136.000000:270.000000:278.000000,2577.268735,85.908958,11,7,
astar,-1028.478018:274.200000:-532.009663,497.000000:270.000000:407.000000,2641.378559,88.045952,18,35,
dijkstra,-744.744073:274.200000:789.778309,792.000000:270.000000:-255.000000,2775.100226,92.503341,15,36,
dijkstra,795.766274:274.278332:-253.709446,1082.000000:270.000000:-75.000000,702.600000,23.420000,2,6,
dfs,-118.050991:274.200000:63.760702,-86.000000:270.000000:-108.000000,24735.286777,824.509559,265,445,
bfs,-1139.670584:274.200000:277.246314,1028.000000:270.000000:491.000000,3745.031492,124.834383,8,25,
astar,494.474180:273.526706:409.906042,-497.000000:270.000000:462.000000,2423.921668,80.797389,30,40,
dijkstra,1084.656099:274.200000:-72.056004,-1010.000000:270.000000:-191.000000,2602.500000,86.750000,41,6,
astar,-493.569831:274.200000:461.671535,-245.000000:270.000000:30.000000,1620.300000,54.010000,35,20,
bfs,1026.422198:274.200000:494.453318,377.000000:270.000000:-657.000000,2384.400000,79.480000,13,8,
astar,-245.382169:274.200000:33.802027,383.000000:270.000000:-752.000000,1564.944345,52.164811,7,15,
dijkstra,-1007.475425:274.200000:-193.952724,1011.000000:270.000000:-173.000000,2529.444345,84.314812,4,33,
dijkstra,1011.156987:274.200000:-176.811996,1172.000000:270.000000:-93.000000,453.300000,15.110000,1,3,
dijkstra,1172.700559:274.200014:-96.839002,1134.000000:270.000000:-233.000000,437.700000,14.590000,1,2,
bfs,378.281125:274.200000:-660.473550,-1267.000000:270.000000:455.000000,2940.744345,98.024812,17,4,
astar,380.068137:274.200000:-754.369975,-551.000000:270.000000:-112.000000,2466.300000,82.210000,24,11,
astar,-550.934930:274.200000:-111.809468,-909.000000:270.000000:-626.000000,987.600000,32.920000,18,3,
dijkstra,1131.619607:274.200005:-229.988359,-326.000000:270.000000:-287.000000,2113.800000,70.460000,33,3,
bfs,-1269.643482:274.200000:457.954317,536.000000:270.000000:266.000000,2902.200000,96.740000,6,18,
astar,-908.384606:274.200000:-622.063455,-706.000000:270.000000:675.000000,1829.410497,60.980350,18,36,
